siteName,siteStatus,siteOperation,siteState,siteZip,siteDistrict,siteCounty,contactPhone,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,_updatedOn,siteAddress
NE Tacoma Elementary,,M-F 11:00AM-12:00PM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"5419 29th St NE, Tacoma"
Browns Point Elementary,,M-F 11:00AM-12:00PM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"1526 51st ST NE, Tacoma"
Fern Hill Elementary,,M-F 10:30AM-11:30AM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"8442 S Park Ave, Tacoma"
Birney Elementary,,M-F 11:00AM-12:00PM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"1202 S 76th St, Tacoma"
Stafford Elementary,,M-F 11:00AM-12:00PM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"1615 S 92nd St, Tacoma"
Larchmont Elementary,,M-F 10:45AM-11:45AM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"8601 E B St, Tacoma"
Blix Elementary,,M-F 11:00AM-12:00PM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"1302 E 38th St, Tacoma"
Boze Elementary,,M-F 10:35AM-11:35AM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"1140 E 65th St, Tacoma"
Lister Elementary,,M-F 10:50AM-11:50AM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"2106 E 44th St, Tacoma"
Roosevelt Elementary,,M-F 10:40AM-11:40AM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"3550 E Roosevelt Av, Tacoma"
Whitman Elementary,,M-F 11:00AM-12:00PM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"1120 S 39th St, Tacoma"
Reed Elementary,,M-F 10:57AM-11:57AM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"1802 S 36th St, Tacoma"
Madison Early Learning Center,,M-F 11:00AM-12:00PM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"3105 S 43rd St, Tacoma"
Arlington Elementary,,M-F 11:00AM-12:00PM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"7202 S Pine St, Tacoma"
Manitou Elementary,,M-F 11:00AM-12:00PM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"4330 S 66th St, Tacoma"
Edison Elementary,,M-F 10:50AM-11:50AM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"5830 S Pine St, Tacoma"
Stanley Elementary,,M-F 11:00AM-12:00PM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"1712 S 17th St, Tacoma"
Bryant Montessori,,M-F 10:40AM-11:40AM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"717 S Grant Av, Tacoma"
McCarver Elementary,,M-F 11:15AM-12:15PM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"2112 S I St, Tacoma"
Jefferson Elementary,,M-F 10:30AM-11:30AM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"4302 N 13th St, Tacoma"
Lyon Elementary,,M-F 10:45AM-11:45AM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"101 E 46th St, Tacoma"
Mann Elementary,,M-F 10:45AM-11:45AM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"1002 S 52nd St, Tacoma"
Fawcett Elementary,,M-F 10:40AM-11:40AM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"126 E 60th St, Tacoma"
Sheridan Elementary,,M-F 10:40AM-11:40AM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"5317 E McKinley Ave, Tacoma"
Pt Defiance Elementary,,M-F 10:40AM-11:40AM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"4330 N Visscher St, Tacoma"
Truman/Downing,,M-F 11:00AM-12:00PM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"2502 N Orchard St, Tacoma"
Skyline Elementary,,M-F 10:40AM-11:40AM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"2301 N Mildred St, Tacoma"
Geiger Montessori,,M-F 11:00AM-12:00PM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"7401 S 8th St, Tacoma"
Delong Elementary,,M-F 11:20AM-12:20PM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"4901 S 14th St, Tacoma"
Whittier Elementary,,M-F 11:00AM-12:00PM,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"777 Elm Tree Ln, Fircrest"
Baker Middle School,,M-F 10:00am-12:00pm,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"8001 S J St, Tacoma"
First Creek Middle School,,M-F 10:00am-12:00pm,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"1801 E 56th St, Tacoma"
Giaudrone Middle School,,M-F 10:00am-12:00pm,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"4902 S Alaska St, Tacoma"
Gray Middle School,,M-F 10:00am-12:00pm,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"6229 S Tyler St, Tacoma"
Jason Lee Middle School,,M-F 10:00am-12:00pm,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"602 N Sprague Ave, Tacoma"
Mason Middle School,,M-F 10:00am-12:00pm,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"3901 N 28th St, Tacoma"
Meeker Middle School,,M-F 10:00am-12:00pm,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"4402 Nassau Ave NE, Tacoma"
Stewart Middle School,,M-F 10:00am-12:00pm,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"5010 Pacific Ave, Tacoma"
Truman Middle School,,M-F 10:00am-12:00pm,WA,,Tacoma,Pierce County,,,,,,,Sat Apr 11 05:41:06 2020,"5801 N 35th St, Tacoma"
Anacortes High School (east commons curbside),,M-F 11:00AM-12:00PM,WA,,Anacortes,Skagit County,,,,,,,Sat Apr 11 05:41:06 2020,"1600 20th Street, Anacortes"
Fidalgo (staff parking lot),,M-F 11:00AM-12:00PM,WA,,Anacortes,Skagit County,,,,,,,Sat Apr 11 05:41:06 2020,
La Conner Middle School,,M-F 10:00AM-12:00PM,WA,,La Conner,Skagit County,,,,,,,Sat Apr 11 05:41:06 2020,"305 N 6th Street, La Conner"
La Conner High School,,M-F 10:00AM-12:00PM,WA,,La Conner,Skagit County,,,,,,,Sat Apr 11 05:41:06 2020,"305 N 6th Street, La Conner"
Mount Vernon High School,,M-F 9:00AM-12:00PM,WA,,Mount Vernon,Skagit County,,,,,,,Sat Apr 11 05:41:06 2020,"314 N 9th Street, Mount Vernon"
Cascade Commons,,M-F 9:00AM-12:00PM,WA,,Mount Vernon,Skagit County,,,,,,,Sat Apr 11 05:41:06 2020,
Centennial Elementary,,M-F 9:00AM-12:00PM,WA,,Mount Vernon,Skagit County,,,,,,,Sat Apr 11 05:41:06 2020,"3100 Martin Road, Mount Vernon"
Jefferson Elementary,,M-F 9:00AM-12:00PM,WA,,Mount Vernon,Skagit County,,,,,,,Sat Apr 11 05:41:06 2020,"1801 E Blackburn Road, Mount Vernon"
Harriet Rowley Elementary,,M-F 9:00AM-12:00PM,WA,,Mount Vernon,Skagit County,,,,,,,Sat Apr 11 05:41:06 2020,"400 53rd Street, Mount Vernon"
Madison Elementary,,M-F 9:00AM-12:00PM,WA,,Mount Vernon,Skagit County,,,,,,,Sat Apr 11 05:41:06 2020,"907 E Fir Street, Mount Vernon"
Washington Elementary,,M-F 9:00AM-12:00PM,WA,,Mount Vernon,Skagit County,,,,,,,Sat Apr 11 05:41:06 2020,"McLean Road, Mount Vernon"
LaVenture Middle School,,M-F 9:00AM-12:00PM,WA,,Mount Vernon,Skagit County,,,,,,,Sat Apr 11 05:41:06 2020,"1200 N Laventure Road, Mount Vernon"
Cascade Middle School,,M-F 11:00AM-12:00PM,WA,,Sedro-Woodley,Skagit County,,,,,,,Sat Apr 11 05:41:06 2020,201 N Township
Sedro-Woolley High School,,M-F 11:00AM-12:00PM,WA,,Sedro-Woodley,Skagit County,,,,,,,Sat Apr 11 05:41:06 2020,"1235 3rd Street, Sedro-Woolley"
"Gateway Heights/Sauk Mtn. View Estates Neighborhoods 11-11:30 a.m. (Portabello Avenue: near Gateway Heights sign/rocks, Sedro-Woolley)",,M-F 11:00AM-11:30AM,WA,,Sedro-Woodley,Skagit County,,,,,,,Sat Apr 11 05:41:06 2020,
Hamilton Food Bank,,M-F 11:45AM-12:15PM,WA,,Sedro-Woodley,Skagit County,,,,,,,Sat Apr 11 05:41:06 2020,"8159-8173 Petit Street, Hamilton"
Lynam Baptist Church,,M-F 11:00AM-11:30AM,WA,,Sedro-Woodley,Skagit County,,,,,,,Sat Apr 11 05:41:06 2020,"31441 W. Main Street, Lyman"
Feather Lane & Aerie Lane,,M-F 11:00AM-11:30AM,WA,,Sedro-Woodley,Skagit County,,,,,,,Sat Apr 11 05:41:06 2020,
Hoogdal Community Club,,M-F 11:45AM-12:15PM,WA,,Sedro-Woodley,Skagit County,,,,,,,Sat Apr 11 05:41:06 2020,"22159 Grip Road, Sedro-Wooley"
Clear Lake Covenant Church,,M-F11:00AM-11:30AM,WA,,Sedro-Woodley,Skagit County,,,,,,,Sat Apr 11 05:41:06 2020,"12605 Hwy 9, Clear Lake"
Big Lake Elementary School,,M-F 11:45AM-12:15PM,WA,,Sedro-Woodley,Skagit County,,,,,,,Sat Apr 11 05:41:06 2020,
Presidents Elementary,,M-F 10:30AM-12:30PM,WA,,Arlington,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,505 East 3rd Street Arlington
Arlington High School,,M-F 10:30AM-12:30PM,WA,,Arlington,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"18821 Crown Ridge Blvd, Arlington"
Darrington High School,,M-F 11:30AM-12:30 PM,WA,,Darrington,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"1085 Fir St, Darrington"
Woodstone Apartments,,M-F 8:45AM-9:00 AM,WA,,Edmonds,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"16520 North Rd, Bothell"
Lakeside Apartments,,M-F 9:15AM-9:30 AM,WA,,Edmonds,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"6102 St Albion Way, Mountlake Terrace"
Lynwood High School,,M-F 10:00AM-10:30 AM,WA,,Edmonds,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"18218 North Rd, Bothell"
Meadowdale Middle School,,M-F 10:00AM-10:30 AM,WA,,Edmonds,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"6500 168th St SW, Lynnwood"
Mountlake Terrace High School,,M-F 10:00AM-10:30 AM,WA,,Edmonds,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"21801 44th Ave W, Mountlake Terrace"
Serra Vista Apartments,,M-F 10:30AM-10:45 AM,WA,,Edmonds,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"15517 40th Ave W, Lynnwood"
Lynnwood Elementary,,M-F 10:30AM-11:00 AM,WA,,Edmonds,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"18614 44th Ave W, Lynnwood"
Scriber Creek Apartments,,M-F 10:45AM-11:00 AM,WA,,Edmonds,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,20921 44th Ave W Lynnwood
Lynndale Elementary,,M-F 11:00AM-11:30 AM,WA,,Edmonds,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"7200 191st Pl SW, Lynnwood"
Chase Lake Elementary,,M-F 11:00AM-11:30 AM,WA,,Edmonds,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"21603 84th Ave W, Edmonds"
College Place Elementary,,M-F 11:00AM-11:30 AM,WA,,Edmonds,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"20401 76th Ave W, Lynnwood"
Mountlake Terrace Elementary,,M-F 11:00AM-11:30 AM,WA,,Edmonds,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"22001 52nd Ave W, Mountlake Terrace"
Cedar Valley Elementary,,M-F 11:00AM-11:30 AM,WA,,Edmonds,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"19200 56th Ave W, Lynnwood"
Community Life Center,,M-F 11:00AM-11:15 AM,WA,,Edmonds,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"19820 Scriber Lake Road, Lynnwood"
Collins Junctions Apartments,,M-F 11:30AM-11:45 AM,WA,,Edmonds,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"4727 200th St W, Lynnwood"
Spruce Park,,M-F 11:30AM-11:45AM,WA,,Edmonds,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,16834 36th Ave W Lynnwood
A’Cappella Apartments,,M-F 12:00AM-12:15 PM,WA,,Edmonds,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"15001 35th Ave W, Lynnwood"
Meadowdale Community Church,,M-F 12:00PM-12:15PM,WA,,Edmonds,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"4900 168th Ave St SW, Lynnwood"
Oak Heights Elementary,,M-F 12:15PM-12:30 PM,WA,,Edmonds,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"15500 18th Ave W, Lynnwood"
Martha Lake Mobile Manor,,M-F 12:30PM-12:45PM,WA,,Edmonds,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"415 Lakeview Rd, Lynnwood"
Alderwood Boys and Girls Club,,M-F 12:30PM-12:45PM,WA,,Edmonds,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"19719 24th Ave W #10, Lynnwood"
Martha Lake Elementary,,M-F 12:45PM-1:00PM,WA,,Edmonds,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"16300 E Shore Dr, Lynwood"
Cascade High School,,M-F 11:30AM-11:45AM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"801 E. Casino Rd., Everett"
Cedarwood Elementary,,M-F 11:30AM-11:45AM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"3414 168th St SE, Bothell"
District Apartments,,M-F 12:00PM-12:30PM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"17716 Bothell Everett Hwy, Bothell"
Eisenhower Middle School,,M-F 11:30AM-11:45AM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"10200 25th Ave SE, Everett"
Evergreen Middle School,,M-F 11:15AM-11:30AM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"7621 Beverly Ln, Everett"
Family Tree Apartments,,M-F 12:00PM-12:30PM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"10110 19th Ave SE, Everett"
Forest View Elementary,,M-F 11:15AM-11:30AM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"5601 156th St SE #8948, Everett"
Garfield Elementary,,M-F 11:00AM-11:30AM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"2215 Pine St, Everett"
Gateway Apartments,,M-F 12:30PM-1:00PM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"13105 21st Dr, SE, Everett"
Hawthorne Elementary,,M-F 11:45-12:15PM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"1110 Poplar St, Everett"
Heatherwood Middle School,,M-F 11:30-11:45AM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"1419 Trillium Blvd SE, Mill Creek"
Heatherwood Apartments,,M-F 11:00-11:30AM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"13510 North Creek Drive, Mill Creek,"
Jackson Elementary,,M-F 11:45-12:00PM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"3700 Federal Ave, Everett"
Jefferson Elementary,,M-F 11:00-11:15AM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"2500 Cadet Way, Everett"
Lowell Elementary,,M-F 11:15-11:30AM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"5010 View Dr, Everett"
Madison Elementary,,M-F 12:30-12:45PM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"616 Pecks Dr, Everett"
Mill Creek Elementary,,M-F 11:45-12:00PM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"3400 148th St SE, Mill Creek"
Mirabella Apartments,,M-F 11:45-12:15PM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"805 112th St SE, Everett"
James Monroe Elementary,,M-F 11:15-11:30AM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"10901 27th Ave SE, Everett"
North Middle School,,M-F 11:30AM-11:45AM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"2514 Rainier Ave, Everett"
Penny Creek Elementary,,M-F 12:15AM-12:30PM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"4117 132nd St SE, Everett"
Sequoia High School,,M-F 11:15AM-11:30 AM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"3516 Rucker Ave, Everett"
Shoreside Village,,M-F 11:45AM-12:15PM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"701 75th St SE, Everett"
Silver Firs Elementary,,M-F 11:45AM-12:00PM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"5909 146th Pl SE, Everett"
Silver Lake Elementary,,M-F 12:00PM-12:15PM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"12815 Bothell Everett Hwy, Everett"
The Lakehouse Apartments,,M-F 11:15AM-11:45AM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"12115 19th Ave SE, Everett"
Tambark Creek Elementary,,M-F 11:00AM-11:15AM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"17217 35th Ave SE, Bothell"
View Ridge Elementary,,M-F 12:15PM-12:30PM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"202 Alder St, Everett"
Whittier Elementary,,M-F 12:30-12:45PM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"916 Oakes Ave, Everett, WA 98201"
Woodside Elementary,,M-F 11:30AM-11:45AM,WA,,Everett,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"17000 23rd Ave SE, Bothell"
Granite Falls Middle School Multi-Purpose Room,,M-F 11:00AM-1:00PM,WA,,Granite Falls,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"405 North Alder Avenue, Granite Falls"
Lake Stevens Middle School,,M-F 11:30AM-1:00PM,WA,,Lake Stevens,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"1031 91st Ave SE, Lake Stevens"
North Lake Middle School,,M-F 11:30AM-1:00 PM,WA,,Lake Stevens,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"2202 123rd Ave NE, Lake Stevens"
Faith Lutheran Church,,"1424 172nd St NE, Marysville",WA,,Lakewood,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,
Reclamation Church,,"907 Lakewood Rd, Arlington",WA,,Lakewood,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,
Jake’s House,,"18824 Smokey Point Blvd Suite 105, Arlington",WA,,Lakewood,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,
Smokey Point Community Church,,"17721 Smokey Point Blvd, Arlington",WA,,Lakewood,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,
Allen Creek Elementary School,,M-F 10:30AM-12:30PM,WA,,Marysville,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"6505 60th Dr NE, Marysville"
Cascade Elementary School,,M-F 10:30AM-12:30PM,WA,,Marysville,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"5200 100th St NE, Marysville"
Grove Elementary School,,M-F 10:30AM-12:30PM,WA,,Marysville,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"6510 Grove St, Marysville"
Kellogg Marsh Elementary School,,M-F 10:30AM-12:30PM,WA,,Marysville,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"6325 91st St NE, Marysville"
Liberty Elementary School,,M-F 10:30AM-12:30PM,WA,,Marysville,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"1919 10th St, Marysville"
Marshall Elementary School,,M-F 10:30AM-12:30PM,WA,,Marysville,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"4407 116th St NE, Marysville"
Pinewood Elementary School,,M-F 10:30AM-12:30PM,WA,,Marysville,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"8600 52nd Ave NE, Marysville"
Quil Ceda Tulalip Elementary School,,M-F 10:30AM-12:30PM,WA,,Marysville,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"2415 74th St NE, Tulalip"
Shoultes Elementary School,,M-F 10:30AM-12:30PM,WA,,Marysville,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"13525 51st Ave NE, Marysville"
Sunnyside Elementary School,,M-F 10:30AM-12:30PM,WA,,Marysville,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"3707 Sunnyside Blvd, Marysville"
10th Street Middle School,,M-F 10:30AM-12:30PM,WA,,Marysville,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"7204 27th Ave NE, Marysville"
Cedarcrest Middle School,,M-F 10:30AM-12:30PM,WA,,Marysville,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"6400 88th St NE, Marysville"
Marysville Middle School,,M-F 10:30AM-12:30PM,WA,,Marysville,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"4923 67th St NE, Marysville"
Totem Middle School,,M-F 10:30AM-12:30PM,WA,,Marysville,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"1605 7th Ave NW, Marysville"
Legacy High School,,M-F 10:30AM-12:30PM,WA,,Marysville,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"7204 27th Ave NE, Marysville"
Heritage High School,,M-F 10:30AM-12:30PM,WA,,Marysville,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"7204 27th Ave NE, Marysville"
Marysville Pilchuck High School,,M-F 10:30AM-12:30PM,WA,,Marysville,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"5611 108th St NE, Marysville"
Marysville Getchell High School,,M-F 10:30AM-12:30PM,WA,,Marysville,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"8301 84th St NE, Marysville"
Chain Lake Elementary School,,M-F 11:30AM-1:30PM,WA,,Monroe School District,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"12125 Chain Road, Snohomish"
Frank Wagner Elementary School,,M-F 11:30AM-1:30PM,WA,,Monroe School District,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"115 Dickinson Road, Monroe"
Fryelands Elementary School,,M-F 11:30AM-1:30PM,WA,,Monroe School District,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"15286 Fryelands Blvd, Monroe"
Maltby Elementary School,,M-F 11:30AM-1:30PM,WA,,Monroe School District,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"9700 212th St SE, Snohomish"
Salem Woods Elementary School,,M-F 11:30AM-1:30PM,WA,,Monroe School District,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"12802 Wagner Road, Snohomish"
Challenger Elementary School,,M-F 11:30AM-1:00PM,WA,,Mukilteo,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"9600 Holly Drive, Everett"
Columbia Elementary School,,M-F 11:30AM-1:00PM,WA,,Mukilteo,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"10520 Harbour Pointe Blvd., Mukilteo"
Horizon Elementary School,,M-F 11:30AM-1:00PM,WA,,Mukilteo,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"222 W Casino Road, Everett"
Mariner High School,,M-F 11:30AM-1:00PM,WA,,Mukilteo,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"200 120th Street SW, Everett"
Mukilteo Elementary School,,M-F 11:30AM-1:00PM,WA,,Mukilteo,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"2600 Mukilteo Speedway, Mukilteo"
Odyssey Elementary School,,M-F 11:30AM-1:00PM,WA,,Mukilteo,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"13025 17th Ave W., Everett"
Serene Lake Elementary School,,M-F 11:30AM-1:00PM,WA,,Mukilteo,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"4709 Picnic Point Road, Edmonds"
Boys & Girls Club,,M-F 10:30AM-10:55AM,WA,,Snohomish,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"402 2nd St, Snohomish"
Snohomish Aquatic Center,,M-F 11:00AM-11:25AM,WA,,Snohomish,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"516 Maple Ave, Snohomish"
Emerson Elementary School,,M-F 11:30AM-11:55AM,WA,,Snohomish,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"1103 Pine Ave, Snohomish"
Snohomish High School (south parking lot),,M-F 12:00-12:25PM,WA,,Snohomish,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"1316 5th St, Snohomish"
Circle H Mobile Home Park,,M-F 12:40-1:00PM,WA,,Snohomish,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"6413 123rd Ave SE, Snohomish"
3 Rivers Mobile Home Park,,M-F 11:15-11:45AM,WA,,Snohomish,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"13201 Elliott Rd, Snohomish"
Valley View Middle School,,M-F 12:00-12:30PM,WA,,Snohomish,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"14308 Broadway Ave, Snohomish"
Twin City Elementary School,,M-F 10:00AM-1:00PM,WA,,Stanwood-Camano,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"26211 72nd Ave. NW, Stannwood"
Cedarhome Elementary School,,M-F 10:00AM-1:00PM,WA,,Stanwood-Camano,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"27911 68th Ave NW, Stanwood"
Stanwood Middle School,,M-F 10:00AM-1:00PM,WA,,Stanwood-Camano,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"9405 271st St. NW, Stanwood"
Elger Bay Elementary School,,M-F 10:00AM-1:00PM,WA,,Stanwood-Camano,Snohomish County,,,,,,,Sat Apr 11 05:41:06 2020,"1810 Elger Bay Road, Camano Island"
